commentID;comment;assessment
53;While the workload and responsibilities are on the higher end, we are consistently rewarded with praise, company successes, customer compliments, and feedback.;positive
54;Management gives constructive criticism when it’s needed and praise when it’s due.;positive
55;I appreciate the small incentives general kindness, and thank you for a job well done.;positive
56;Lack of recognition is not an issue here.;positive
57;We celebrate work achievements like they’re birthday parties.;positive
58;Senior management talks with us to find out what motivates us to strive for company goals. They use those means of motivation to show that they really care about their employees.;positive
59;You know you’ve done something right when your manager gives you an atta’ boy!;positive
60;I have a great supervisor who listens and considers my thoughts and ideas.;positive
61;Leadership genuinely cares about each one of us & strives to provide us with practical guidance & an atmosphere in which we can succeed & be happy.;positive
62;Promotions are given to people who earn it, despite seniority.;positive
63;They treat you like a person rather than a subordinate.;positive
64;They show that although I’m not perfect, I’m still a great asset who they appreciate.;positive
65;We’re given the training to learn, the tools to do our jobs, and the opportunity to advance within the company.;positive
66;We make recognition fun with silly awards like most energetic on Mondays and best barista.;positive
67;Recognition is a constant reminder that we’re headed in the right direction.;positive
68;Management cares about people and shows it. We are given the tools we need to get the job done.;positive
69;I often receive positive feedback from senior management. I’m just grateful they take the time to recognize me.;positive
70;I absolutely love working for this company. My direct manager empowers me and shows her appreciation for my work ethic regularly.;positive
71;You work hard and get compensated praise, promotion, and genuine for appreciation.;positive
72;My employer does so much to make every employee feel like an essential component to the company’s success. I’d just like to say thanks.;positive
73;I always feel appreciated.;positive
74;Good work never goes unnoticed.;positive
75;We’re led by power-hungry individuals who are all-too willing to punish & oppress subordinates.;negative
76;It’s not what you do, it’s what people think you do. Try to take credit for other people’s work.;negative
77;As time has passed, I’ve become more and more convinced that i am invisible. My manager does not care about my growth or development at all. I am very much looking forward to finding a job with a different company.;negative
78;As an employee, i don’t feel valued.;negative
79;Would a ‘thank you’ be so hard?;negative
80;Please, please, please just treat me like a human being.;negative
81;Threatening termination is not the kind of attention employees want.;negative
82;"Quit treating us like elementary kids! We’re adults; give us real appreciation.";negative
83;There is absolutely no motivation to try when only ‘in-crowd’ employees get promoted.;negative
84;I’ve never been told that I’m doing a good job.;negative
85;Hard workers are not appreciated. They simply get used.;negative
86;Leadership does a terrible job of noticing, let alone recognizing, employees. There’s no incentive anymore.;negative
87;"Managers don’t care about effort; they only care if the work gets done.";negative
88;Recognition is given to those who put in the most hours, not those who do the best work.;negative
89;It seems as though threats of error are the normal means of motivation.;negative
90;We just go through the motions so we don’t get yelled at and can get home by five.;negative
91;"Employees are rewarded for throwing coworkers under the bus; no wonder our culture blows.";negative
92;Human assets are of zero value.;negative
93;I’m sick of employees with poor reviews receiving the same benefits as those with great reviews.;negative
94;It’s all about money and numbers here. People aren’t the most important thing anymore.;negative
95;Overworked. Unappreciated. Underpaid.;negative
96;If I contribute to the organization’s success, I know I will be recognized, said no one at this company, ever.;negative
97;There are too many slackers getting paid more than me.;negative
98;Management needs to value everyone, regardless of position or tenure. We are all valuable, and we should be treated that way.;negative
99;Employees here are treated as expendable.;negative
100;When asked what the company could improve on: nothing. They’ve honed the art of this business down to a science.;positive
101;I can’t say enough good things about this place. ;positive
102;I have been in this business for over 20 years. This is, without a doubt, the best atmosphere and most rewarding place I have ever had the opportunity in which to work.;positive
103;I feel more at home, more comfortable, more in control, and more supported than i ever have before.;positive
104;This is such an amazing company led by incredible leaders.;positive
105;This job is unique & rewarding.;positive
106;I love working for this company. When I first started, I thought it was too good to be true but later found out that it isn’t!;positive
107;I feel like everyone’s opinion matters.;positive
108;I can honestly say, “I love my job.”;positive
109;I have the utmost respect for leadership and my coworkers.;positive
110;I foresee long-term commitment and loyalty.;positive
111;This is my home.;positive
112;This will be the place I retire from.;positive
113;This employer genuinely cares for your growth, both professionally and personally.;positive
114;Working for this company is like working with family. We are strict, but loved.;positive
115;This place is so fun! We get surprises all of the time.;positive
116;It’s obvious management is doing everything possible to improve our workplace.;positive
117;You’ll have to carry me out when I stop breathing.;positive
118;I have been here about a year now, and I have not heard any grumbling about management or the company or even about co-workers. I love it!;positive
119;It is an honor to work with such talented coworkers.;positive
120;The environment here is intellectually stimulating. I am motivated to jump out of bed in the morning.;positive
121;This job is truly a blessing.;positive
122;I can’t imagine working anywhere else, ever.;positive
123;Honesty and integrity are guiding principles. That mentality starts at the top and trickles down throughout the entire ofﬁce.;positive
124;The bar for professionalism and productivity is very high, yet the feeling of caring for each employee runs deep.;positive
125;Morons are running this place.;negative
126;It’s like working for the gestapo.;negative
127;Leadership comes with hidden agendas, which gives a sense of fear, disrespect, uncertainty, and distrust.;negative
128;Leadership needs to step it up!;negative
129;We keep finding new and innovative ways to be counter-productive.;negative
130;Several recent business decisions have made me seriously question the integrity of the leaders at this organization.;negative
131;“This company” and “productive workplace” don’t belong in the same sentence.;negative
132;"It's not about the people anymore; it's about how much money can be made.";negative
133;Managers act like they’re entitled to everything, and we’re just expected to stand there and lick their boots.;negative
134;The overall morale of employees could not be lower.;negative
135;This office makes me feel like a bother.;negative
136;You are the main reason I want to quit.;negative
137;I am sick of working for these people.;negative
138;They impose fear by telling us we are replaceable and disposable.;negative
139;We do not care about you. You are lower than dirt.;negative
140;It’s all I can do to make myself come to work in such a mismanaged environment.;negative
141;This place sucks, but I have to stay. I just hope the leaders don’t eat up my pension and screw me after 30 years.;negative
142;There are zero opportunities for promotion at this organization.;negative
143;They’ve finally stopped the beating.;negative
144;If the economy were better, I’d be out of here in a heartbeat.;negative
145;Stop treating me like I’m stupid.;negative
146;I can barely afford to work here anymore.;negative
147;When I express my concerns, I hear, “there’s a line out the door of people qualified to do your job.”;negative
148;Leadership gets pleasure out of us doing something wrong.;negative
149;I can’t wait to get off this sinking ship.;negative
